,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,New Norfolk,-42.7826,147.0587,13.2,59,100,0.45
103,Longyearbyen,78.2186,15.6401,-14.09,78,75,2.06
104,Pontes e Lacerda,-15.2261,-59.3353,22.69,98,100,1.28
105,Bredasdorp,-34.5322,20.0403,14.62,88,45,0.0
106,Kastamonu Province,41.5,33.6667,-1.23,73,1,0.51
107,Dudinka,69.4058,86.1778,-18.22,96,98,6.64
108,Mount Gambier,-37.8333,140.7667,13.95,67,90,10.29
109,Tsabong,-26.0217,22.401,21.74,15,0,2.75
110,Alice Springs,-23.7,133.8833,16.75,51,20,5.14
111,Henties Bay,-22.116,14.2845,14.92,91,4,2.44
112,Hobart,-42.8794,147.3294,13.4,67,75,4.63
113,Chui,-33.6971,-53.4616,14.04,69,0,4.08
114,Ponta do Sol,32.6667,-17.1,19.35,69,50,2.43
115,Kalmunai,7.4167,81.8167,27.15,78,97,1.14
116,Marawi,7.9986,124.2928,23.14,70,100,1.82
117,Faanui,-16.4833,-151.75,26.35,72,31,6.79
118,Baykit,61.67,96.37,-5.95,95,100,2.11
119,Hithadhoo,-0.6,73.0833,28.05,76,38,7.98
120,Morozovsk,48.3539,41.8261,0.04,91,100,3.56
121,Aljezur,37.3191,-8.8033,13.07,84,0,2.22
122,Agnibilékrou,7.1344,-3.2047,22.06,97,100,0.81
123,Vaini,-21.2,-175.2,29.09,84,75,3.6
124,Tres Arroyos,-38.3739,-60.2798,16.65,54,97,7.65
125,Khatanga,71.9667,102.5,-33.86,100,15,1.65
126,Codrington,-38.2667,141.9667,13.31,85,100,10.03
127,Nhulunbuy,-12.2333,136.7667,35.34,49,40,5.66
128,Huarmey,-10.0681,-78.1522,17.87,84,83,4.43
129,Bengkulu,-3.8004,102.2655,28.5,66,100,1.07
130,Lompoc,34.6391,-120.4579,23.4,80,1,1.54
131,Wanning,18.8003,110.3967,24.07,75,100,6.24
132,Kapaa,22.0752,-159.319,27.18,68,1,0.45
